sampid,fromWhen,gender,yob,b153,b153z,b154,b156,b156z,b157,b158,b159,b160,b308,b162,b163,b166,b169,b184,b220,b221,b222,b223,b224,b225,b228,b241,b242,b243,b244,b245,b276,b277
8612,2013.0,2.0,1992.0,474.0,7.0,1.0,6151.0,6.0,207.0,1.0,1.0,1.0,,,,,1.0,,48.0,0.0,6.0,0.0,2.0,150.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,
8613,2009.0,2.0,1983.0,856.0,16.0,1.0,292.0,0.0,503.0,1.0,3.0,3.0,,,,,,,50.0,0.0,5.0,0.0,2.0,250.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,
8614,2018.0,1.0,1988.0,319.0,3.0,1.0,8129.0,8.0,301.0,1.0,2.0,2.0,,,,,1.0,,45.0,0.0,5.0,0.0,2.0,220.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
8615,2011.0,2.0,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8619,2012.0,2.0,1990.0,872.0,17.0,1.0,2321.0,2.0,1415.0,1.0,2.0,2.0,,,,,1.0,,45.0,0.0,5.0,0.0,2.0,120.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,
8620,2010.0,1.0,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8624,2016.0,1.0,1990.0,451.0,7.0,1.0,6123.0,6.0,407.0,1.0,3.0,3.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,250.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,
8625,2011.0,2.0,1985.0,856.0,16.0,1.0,2144.0,2.0,807.0,1.0,1.0,1.0,,,,,,,40.0,0.0,5.0,0.0,2.0,200.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,
8628,2008.0,1.0,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8629,2007.0,2.0,1979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8631,2016.0,1.0,1990.0,259.0,3.0,2.0,283.0,0.0,815.0,1.0,7.0,9.0,,,,,1.0,,40.0,5.0,5.0,0.0,1.0,3000.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0
8632,2015.0,2.0,1990.0,731.0,13.0,1.0,3079.0,3.0,115.0,1.0,1.0,1.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,150.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,
8633,2013.0,2.0,1992.0,281.0,3.0,3.0,263.0,0.0,812.0,1.0,3.0,6.0,,,,,1.0,,40.0,3.0,5.0,0.0,1.0,1800.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,
8636,2008.0,2.0,1985.0,902.0,18.0,3.0,295.0,0.0,116.0,5.0,3.0,9.0,,,,,1.0,,45.0,0.0,5.0,0.0,2.0,100.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0
8637,2008.0,2.0,1985.0,872.0,17.0,1.0,2321.0,2.0,1213.0,4.0,3.0,3.0,,,,,1.0,,65.0,0.0,5.5,0.0,2.0,138.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,
8643,2007.0,1.0,1985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8645,2009.0,1.0,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8649,2009.0,1.0,1985.0,479.0,7.0,2.0,1344.0,1.0,812.0,1.0,6.0,9.0,,,,,1.0,,40.0,6.0,5.0,0.0,1.0,3100.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,
8650,2011.0,1.0,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8655,2017.0,1.0,1990.0,561.0,9.0,3.0,5312.0,5.0,112.0,1.0,3.0,6.0,,,,,1.0,,40.0,0.0,5.5,0.0,2.0,230.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,
8656,2015.0,2.0,1991.0,856.0,16.0,1.0,4204.0,4.0,802.0,1.0,1.0,1.0,,,1.0,,2.0,,9.0,0.0,3.0,0.0,3.0,30.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,
8657,2008.0,2.0,1983.0,561.0,9.0,3.0,284.0,0.0,123.0,1.0,2.0,2.0,,,,,1.0,,48.0,0.0,6.0,0.0,2.0,140.0,4.0,3.0,3.0,3.0,3.0,4.0,9090908.0,
8658,2009.0,2.0,1983.0,853.0,16.0,3.0,295.0,0.0,111.0,4.0,8.0,9.0,,,5.0,,2.0,,45.0,2.0,5.0,0.0,2.0,100.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,
8661,2007.0,2.0,1985.0,861.0,17.0,1.0,3061.0,3.0,404.0,4.0,7.0,7.0,,,8.0,,1.0,2.0,40.0,0.0,5.0,0.0,2.0,105.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
8663,2018.0,2.0,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8665,2013.0,1.0,1982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8667,2014.0,2.0,1988.0,232.0,3.0,1.0,4153.0,4.0,101.0,1.0,7.0,7.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,3600.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,
8669,2015.0,1.0,1990.0,843.0,15.0,3.0,2502.0,2.0,827.0,5.0,9.0,9.0,,,,,1.0,,40.0,12.0,5.0,0.0,1.0,2000.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,
8672,2007.0,1.0,1982.0,862.0,17.0,1.0,3063.0,3.0,109.0,1.0,2.0,2.0,,,8.0,,1.0,2.0,48.0,0.0,6.0,0.0,2.0,150.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,
8673,2012.0,2.0,1989.0,851.0,16.0,3.0,2122.0,2.0,1513.0,5.0,4.0,4.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,3000.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,
8675,2017.0,1.0,1991.0,620.0,10.0,2.0,1343.0,1.0,120.0,1.0,3.0,3.0,,,,,1.0,,40.0,4.0,5.0,0.0,1.0,2100.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,
8677,2013.0,1.0,1988.0,351.0,4.0,3.0,8330.0,8.0,908.0,1.0,5.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,2890.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,
8678,2015.0,2.0,1990.0,582.0,10.0,1.0,1332.0,1.0,115.0,1.0,2.0,2.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,200.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,
8679,2015.0,1.0,1990.0,562.0,9.0,3.0,5317.0,5.0,705.0,1.0,1.0,7.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,200.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,
8680,2012.0,2.0,1985.0,213.0,3.0,1.0,1221.0,1.0,823.0,1.0,4.0,4.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,3400.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,
8684,2008.0,2.0,1983.0,712.0,13.0,1.0,295.0,0.0,210.0,1.0,1.0,1.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,95.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,
8686,2007.0,1.0,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8687,2011.0,2.0,1985.0,412.0,6.0,1.0,1553.0,1.0,803.0,1.0,3.0,3.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,2200.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,
8689,2016.0,1.0,1989.0,911.0,18.0,1.0,4204.0,4.0,504.0,1.0,1.0,1.0,,,,,,,60.0,0.0,6.0,0.0,2.0,500.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,
8690,2010.0,2.0,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8694,2009.0,1.0,1982.0,291.0,3.0,1.0,284.0,0.0,1516.0,1.0,6.0,6.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,150.0,4.0,3.0,4.0,3.0,4.0,5.0,1.0,2.0
8695,2010.0,1.0,1985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8697,2009.0,1.0,1982.0,463.0,7.0,1.0,6151.0,6.0,306.0,1.0,1.0,1.0,,,,,,,50.0,0.0,6.0,0.0,2.0,300.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,
8698,2012.0,1.0,1992.0,843.0,15.0,3.0,2503.0,2.0,801.0,5.0,9.0,9.0,,,7.0,,1.0,,40.0,6.0,5.0,1.0,2.0,130.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0,
8700,2011.0,2.0,1983.0,844.0,15.0,3.0,295.0,0.0,812.0,5.0,6.0,7.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,120.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,
8702,2012.0,2.0,1986.0,291.0,3.0,1.0,283.0,0.0,1504.0,1.0,7.0,7.0,,,,,1.0,,45.0,0.0,5.0,0.0,2.0,200.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
8703,2012.0,2.0,1990.0,561.0,9.0,3.0,291.0,0.0,102.0,1.0,6.0,8.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,
8705,2011.0,2.0,1988.0,661.0,11.0,3.0,322.0,0.0,124.0,1.0,9.0,9.0,,,,,1.0,,40.0,3.0,5.0,1.0,1.0,4000.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0
8707,2013.0,2.0,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8709,2011.0,1.0,1983.0,241.0,3.0,3.0,8212.0,8.0,204.0,1.0,8.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,230.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0
8710,2013.0,2.0,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
