시도,행정구,삶의 만족도,1인당 GRDP,신혼부부수_스케일링,신혼부부수,평균 자살율,평균 소득,미술관,도서관,박물관,인당_기관수_스케일링,청년인구당_기관수_스케일링,인당_학원수_스케일링,인당_초/중/고_개수,학생당_학교수,공원수,평균공원면적,공원시설통합num평균,평균년도,응급실병상수 총합,병원,보건소,보건의료원,보건지소,보건진료소,상급종합,약국,요양병원,의원,정신병원,조산원,종합병원,치과병원,치과의원,한방병원,한의원
부산,사하구,0.1104,2324,0.363561087,5159,22.6,33561,1,2,1,0.0947585916,0.105519885,0.342171467,0.000330183541,0.00338132255,61,8738.190164,0,1998.95082,2.317980575,5.960521479,0.331140082,0,0,0,0,42.7170706,6.953941726,61.92319537,0.993420247,0,0,0.331140082,33.4451483,0.662280164,26.82234666
부산,금정구,0.5369,1920,0.202049722,2932,22,34693,2,3,4,0.262200245,0.242202673,0.433974778,0.000320241123,0.00356805541,37,63135.06757,0.810810811,1982.297297,4.519651444,4.519651444,0.451965144,0,0,0,0,47.45634017,7.683407456,64.63101566,1.355895433,0,0,0,42.03275843,0.451965144,35.70524641
부산,강서구,0.4799,9341,0.939880486,4414,18.9,40490,,,,0,0,0.600658787,0.000427754988,0.0026224152,86,14149.09651,7.88372093,2006.116279,6.982898881,4.189739328,0.698289888,0,2.793159552,2.094869664,0,30.02646519,0,38.40594384,0,0,0,0.698289888,19.55211687,0.698289888,13.96579776
부산,연제구,0.6428,3166,0.378710686,3801,24.3,36611,,,,0.196787344,0.239025857,0.360778085,0.000221497512,0.00214739343,25,3072.964,2.4,1995.72,11.30021225,5.895762912,0.491313576,0,0,0,0,46.67478972,5.895762912,82.04936719,0.982627152,0,0.491313576,0.982627152,45.20084899,0.982627152,37.33983177
부산,수영구,0.3467,1630,0.363539451,3037,20.8,35917,,,,0,0,0.424939271,0.000231287404,0.0027921262,21,6164.52381,0,2008.333333,26.31488622,3.432376463,0.572062744,0,0,0,0,46.909145,5.148564695,76.65640767,0,0.572062744,1.716188232,0.572062744,45.19295676,0.572062744,45.19295676
부산,사상구,0.0903,3004,0.283719534,3151,24.4,32305,,,,0.277508012,0.310395315,0.195132457,0.000328968683,0.0039763827,33,21305.90909,0,1991.181818,16.19321946,3.434925339,0.49070362,0,0,0,0,36.80277149,5.888443439,52.50528733,2.94422172,0,0.98140724,0.49070362,27.47940272,0.49070362,22.0816629
부산,기장군,0.4374,3650,0.670688985,4369,16.6,36437,,,,0.0786823064,0.100779616,0.464662766,0.000418315432,0.00289730238,95,92399.38105,2.936842105,2005.821053,11.19733056,2.239466111,0.559866528,0,2.239466111,1.119733056,0,35.27159125,2.799332639,50.94785403,0,0,0.559866528,0.559866528,27.43345986,1.119733056,19.59532847
대구,중구,0.4445,6979,0.38887016,1694,15.4,37092,,,,0.29824723,0.310896026,0.662449287,0.000332126251,0.00342012357,17,14235.58824,1.823529412,1999.647059,74.81390042,13.71588174,1.24689834,0,0,0,1.24689834,180.8002594,1.24689834,319.2059751,0,0,2.493796681,4.987593362,118.4553423,2.493796681,77.3076971
대구,동구,0.31,2278,0.471051975,6888,25.1,34642,,,,0.0405335593,0.0501276837,0.37873114,0.000320333613,0.00326119182,112,22504.42411,0,2004.928571,18.26053662,1.767148706,0.294524784,0,0,0,0,51.83636203,2.356198274,69.80237387,0.883574353,0,0.589049569,0,30.33605278,0.294524784,34.16487497
대구,서구,0.0049,2397,0.0915240974,1831,31.2,31131,,,,0.0854428709,0.118541713,0.220341674,0.000306931119,0.0042073376,20,25674.43,4.45,1984.55,16.89326584,4.379735589,0.625676513,0,0,0,0,65.69603384,6.88244164,74.45550501,0.625676513,0,0.625676513,0,33.78653169,0,40.04329681
대구,남구,0.0828,2172,0.26414467,2083,29.7,31757,,,,0.611452461,0.675302612,0.259565995,0.00029286436,0.00408413314,22,2687.768182,2.136363636,1981.636364,66.42217653,3.533094496,0.706618899,0,0,0,1.413237798,73.48836552,6.359570093,79.14131671,0,0,1.413237798,0,41.69051505,0,43.10375285
대구,북구,0.3459,2383,0.438100051,8028,18.3,34459,1,7,3,0.167250648,0.150141643,0.422256501,0.000355676037,0.0031240765,94,13416.41064,4.914893617,1993.93617,9.978835586,4.873384821,0.232065944,0,0.232065944,0,0.232065944,46.64525472,2.784791326,59.17681568,0.696197832,0,0.232065944,0,32.2571662,0.464131888,28.07997921
대구,수성구,0.77,2085,0.141573009,5063,23,42780,1,8,4,0.0340969832,0.0327899279,0.908378623,0.00029396274,0.00208731953,90,15252.16444,0.822222222,1998.755556,3.401748985,3.158766915,0.24298207,0,0,0,0,50.05430649,2.429820704,90.63231224,0.485964141,0,0.24298207,0.971928281,41.30695196,1.214910352,51.51219891
